x_axis,y_axis,z_axis
-0.05,-0.21454545454545454,-0.07636363636363636
-0.04,-0.20454545454545453,0.22363636363636363
-0.030000000000000002,-0.19454545454545455,-0.05636363636363635
-0.020000000000000004,-0.18454545454545454,-0.04636363636363636
-0.010000000000000002,0.7854545454545454,-0.036363636363636355
0.0,0.6854545454545455,-0.026363636363636353
0.009999999999999995,-0.15454545454545454,-0.016363636363636358
0.020000000000000004,-0.14454545454545453,-0.006363636363636349
0.03,-0.13454545454545452,0.003636363636363646
0.039999999999999994,-0.12454545454545454,0.013636363636363641
0.05,-0.11454545454545453,0.02363636363636365
