x_axis,y_axis,z_axis
-9.16080116848047e-06,-0.00010658571024295424,-0.0005437869645996968
-7.328640934784376e-06,-9.129804096343598e-05,-0.00042714383006749786
-5.496480701088283e-06,-7.601037168391775e-05,-0.0004167659890896725
-3.664320467392189e-06,-6.07227024043995e-05,-0.0003532555013346604
-1.8321602336960945e-06,0.00013045234930994377,0.0010019838548192784
0.0,0.00012558625601880502,0.0009174837430702472
1.8321602336960932e-06,-1.485969456584476e-05,-0.0001627240380696239
3.664320467392189e-06,4.279747136735005e-07,-9.92135503146117e-05
5.496480701088282e-06,1.5715643993191745e-05,-3.570306255959955e-05
7.3286409347843754e-06,3.1003313272709986e-05,2.7807425195412563e-05
9.16080116848047e-06,4.6290982552228245e-05,9.131791295042478e-05
